Number,StudentLevel,Timestamp,Transcript,Duration,Rating
1,Graduate,8/4/22 16:45,"Student: Notified that Crack the Coding Interview book is received, which I ordered for. How can I borrow it?
Librarian : Hi [name] :)
Librarian : Oh sure let me check the catalog about availability
Librarian : One sec
Librarian : I can't see it on my end yet, perhaps it has slightly different title
Librarian : Is it called Crack the Coding Interview
Student : But the problem is the book is always available at Noble library on the racks but not open for lending. I requested for the book which says is missing from Noble library.
Student : Cracking the coding interview : 189 programming questions and solutions is the name of the book
Librarian : OH yes I see it now, thanks :)
Librarian : [link]
Librarian : Looks like we have two copies, the stack copy is checked-out
Librarian : And we have a non-circulating reference copy.  In the library but it cannot be check out :(
Librarian : You can view the reference copy on the first floor of noble library
Librarian : [link]
Student : This is the same case when I made the request too. But I was told that they are ordering for that missing book
Librarian : Reference QA76.6 .M34 2015
Student : Is there any way I can boorw the book?
Student : *borrow
Librarian : If the book is missing, and ordered, then I'm sorry we'll have to wait for the replacement to come in
Librarian : The copy on the first floor
Librarian : Reference QA76.6 .M34 2015
Librarian : Can be viewed and read in the library
Librarian : But it cannot be checked out
Student : Okay. Is there any way that I can be notified when the book is replaced?
Librarian : reference books are non-circulating intentionally to give students and researchers opportunities to read the book
Student : ok
Librarian : If you click Request a Copy on the catalog record, the library should notify you once the book is avialable
Librarian : [link]
Librarian : If there are specific chapters of the book you need
Librarian : ON the same form
Librarian : You can click on Request Chapter Scan, and if we don't own the book, like in this case because it's missing
Librarian : And we are getting a replacement
Librarian : We can look for digital chapter copies for you from another library outside of ASU
Student : sure how can I get a digital copy?
Librarian : Oh sure, on the catalog record of the book
Librarian : [link]
Librarian : Click on Request Article or Chapter Scan
Librarian : Then follow the steps for requesting a specific chapter
Librarian : You wouldnt be able to request all of the chapters of the book because of copyright issues, but you can request a few chapters.  Roughly about 30 percent of a book
Librarian : Does that make sense?
Student : Yes
Librarian : Great! Hopefully you can get the research you need, and will get a replacement copy for you soon
Librarian : Good luck with your research [name]
Librarian : :)
Student : Thanks a lot [name]!
Librarian : No probs have a good evening
",851,0
2,Graduate,8/5/22 13:38,"Student: Do you provide laptop chargers for check-out?
Librarian : I am not sure. Let me call the desk. Which library? 
Student : I am on the Tempe campus and can go to any library there (not sure of the names - I think Hayden and Nobel?). Anyways, my MacBook mag charger with the L shaped caught fire today and I ordered a new one but it is only arriving Monday :(
Librarian : Let me ask.
Student : Thanks
Librarian :   All the locations provide laptop chargers at the info desk. However, we don't have them for every type of laptop. You need to go to the Info Desk with your laptop. There are variety of mac chargers 
Librarian : Do you want me to give you some tel. numbers? 
Librarian : That way you tell them exactly what you need. 
Student : Sure that'd be great
Librarian : Hayden Library 

Information desk: [phone]. Noble library 

Information desk: [phone]. Both libraries close at 5 pm
Student : awesome thank you so much!!
Librarian : Welcome and good luck! 
Student : Thanks :)
Student : Have a great day
Librarian : You too. 
",391,0
3,Graduate,8/9/22 11:40,"Student: Is it possible to export data from the Bloomberg terminal present in the Noble Library to Excel?
Librarian : Welcome to ASU Library Ask-A-Librarian chat service. I'm with another patron at the moment. I appreciate your patience and hope to respond to you shortly.
Librarian : Hi [name]! Thank you for waiting. I personally have not used the terminal but I was told that you'll need to follow instructions provided on the terminal. The options are limited. 
Student : Okay.
Student : Thanks for your help.
",346,0
4,Graduate,8/18/22 10:00,"Student: I am doing my thesis on Infrastructure Asset Management and would like some assistance to research
Librarian : Hello [name]. I will try to help you.
Librarian : Would you like some articles or books? 
Librarian : Here are some suggestions: [link]
Librarian : I used ""Infrastructure Asset Management"" which gives many results. You can add another , more specific keyword. You can asos search our databases, such as ABI Inform ([link]),  Scopus ([link]), Academic Search Premier ([link]). ",472,0
5,Graduate,8/18/22 10:09,"Student: I am working on my thesis and need assistance how to find scholarly articles on Infrastructure Asset Management
Librarian : Hello. 
Student : Hi [name]. How are you doing?
Librarian : I'm doing well [name]. How are you?
Student : I need help searching both data and scholarly articles about Infrastructure Asset Management
Student : I am well. Thank you for asking
Librarian : Do the articles need to be from peer reviewed journals, or are all scholarly journals acceptable?
Student : I wanted to do research on how current climate change and weather anomalies and life cycle of buildings highway and etc
Student : scholarly journals
Librarian : Searching our Library One Search database and using ""infrastructure asset management"" as a phrase search - when limited to articles - produces 243 Results:[link]
Student : Gotcha. Thanks
Librarian : 243 results isn't an overwhelmingly large number. you could either review all of those, or you could try to add additional keywords to your search.
Student : Got it. Thanks [name]. Also, this is my first time doing APA. IS there major difference in APA and MLA
Librarian : Oh, in terms of citation styles. There are some differences in the order of elements in citations when comparing APA (American Psychological Association) and MLA (Modern Language Association).
Librarian : See our ""Citation Styles"" library guide: [link]
Librarian : APA also has a free guide to the basics of their style: [link]
Librarian : Library One Search - and many of our individual research databases - also include ""Cite"" features which will generate citations according to APA, MLA, etc. We remind users that they are responsible for double-checking the accuracy of these auto-generated citations. But they can be a big time saver...
Student : Appreciate it. Thank you for your help!
Student : This is great start.
Librarian : You're welcome.
Librarian : Do you want me to email you our transcript?
Student : no
Student : have a good one. Take care
Librarian : Okay. Thank you. You too.
",519,0
6,Graduate,8/18/22 10:09,"Student: Hi,
Please let me know if the book Algorithm design by kleinberg and tardos is available.
Thank you
Librarian : Hi [name], I will check the library catalog for you. Just one moment.
Student : Ok thank you
Librarian : Hi [name], I am sorry I do not see the specific book you are looking for - Algorithm Design by Kleinberg and Tardo. The library has several books on algorithm design however. Or if you need access to this specific book you can request it through our inter library loan (ILL) service. Just one moment and I will get you a link to our ILL service.
Librarian : [link]
Student : Ok, thank you
Librarian : Is there anything else I can help you with today? Do you need helping finding other resources on algorithm design?
Student : I'll look into the link, that's it for today
Thank you!
Librarian : Thanks for using the library Ask a Librarian service! Don't forget to save a copy of this transcript. We look forward to seeing you again!
",475,4
7,Graduate,8/18/22 10:09,"Student: Hey!!
Could you please assist me in borrowing a text book from ASU Library
Librarian : Hello [name]!
Librarian : generally we do not carry textbooks for classes unless the instructor has specifically dropped it off for class use
Librarian : but I can run a search and see if we have a copy for you if you can provide me with the title and author
Student : The Contractor's Guide to Quality Concrete  Construction, published by the  
                   American Concrete Institute and the American Society of Concrete Contractors.
Librarian : unfortunately, I'm not spotting that one on our collection.
Student : No worries [name]!!
Student : Thank You for your time!
Librarian : you're very welcome, and I wish you all the best in your search!
Student : Thank you!!
",480,4
8,Graduate,8/18/22 15:03,"Student: Hi, I have a library fee from an item that was returned last semester for $10. I was told that since the item was returned in the same condition this fee would disappear from my account but it is still there
Librarian : Hi [name].  Call the Hayden Circulation Desk at [phone] and they'll help to sort this out.
Student : Thanks!
Librarian : You're welcome.  Have a great day!
",67,0
9,Graduate,8/18/22 15:38,"Student: Is the book , ""principles of vlsi design"" by Hongjian Song available at the library. Please let me know ASAP
Librarian : Hi [name]
Librarian : Let me take a look.
Student : Hello [name], yes sure
Librarian : I checked in One Search and then in the Advanced search and didn't see that title.
Librarian : Is it a textbook for your class?
Student : Yup it is
Librarian : You might check with the ASU bookstore.
Librarian : Let me get you their contact info.
Librarian : [link]
Librarian : That link is to our FAQ about textbooks.
Student : Yeah I'll do that
Librarian : It has a link to the bookstore.
Librarian : All the best with your classes!
Student : Thanks [name]. Have a good day
Librarian : Thanks for stopping by! Take care!
",167,0
10,Graduate,8/19/22 9:07,"Student: how to request for a book?
Librarian : Hi [name] :)
Student : Hi [name]
Student : I am new student to ASU
Librarian : Welcome
Student : I want to request for some books , I want to know how that works
Librarian : Did you need to request a book from another ASU Library?
Student : no, I think books are available in ASU library itself
Librarian : Wonderful!  By request did you mean, how to get a book from the library collections?
Student : yeah, and is it free or any loan charge for it ?
Librarian : Our library collections are all open stacks for the most part.  Meaning, the book is on the shelf in a library, and you can go to that floor, and get the book, then either use self checkout, check out the book at the information desk
Librarian : There is no charge, it is free to use :)
Librarian : If you send me a title i can help you find the book and which library
Student : sure
Student : [name] Sommerville, Software Engineering 10th edition, Addison-[name]ley 2012.
Student : looking for this book, I saw 8th Edition is available
Librarian : Yes I did a search in the ASU Catalog
Librarian : And yes the 8th edition is available
Librarian : From the Polytechnic library
Librarian : [Link]
Librarian : From the catalog record that I just sent
Student : I need to go there, I can't order it online ?
Librarian : Oh sorry, apologies, that particular book is in course reserves
Librarian : Meaning, the professor requested the library
Librarian : to have loan period be very short, 2 hours
Librarian : So students in the class
Student : I am in Software Engineering Course
Librarian : will all have equal time to request the book
Student : okay got it
Librarian : There may be an older edition
Librarian : available I can check
Student : 7th is there
Librarian : It looks like the 7th edition is currently checked out from the Noble LIbrary
Librarian : [Link]
Librarian : You can certainly recall the book
Librarian : By clicking on the Request ASU Copy
Librarian : The student that currently has the book, does have 10 days to return, so you wouldn't be able to check out the book until then
Librarian : The 3rd edition is available
Librarian : [Link]
Librarian : If its not too old, you can click on Request ASU Copy, and select the nearest library to pick up the book from
Librarian : And ASU LIbrary will email you when its available
Student : I am going for 7th edition
Librarian : Prob in 24 hours
Student : how much time I can keep the book ? 7th edition ?
Librarian : Sounds good [name], keep in mind, it may take up to 10 days before you can check it out, I hope that is okay
Student : also, how many books I can request at once ?
Librarian : Are you an undergraduate or graduate student?
Librarian : Here's the loan policy page
Librarian : [Link]
Student : graduate student
Librarian : There is no limit on number of books
Librarian : Great you have 365 loan period
Student : I also want ""Introduction to Algorithms by Thomas h""
Librarian : I just check the catalog
Librarian : It looks like that book
Librarian : Is also check out, sorry
Librarian : [Link]
Librarian : Again you can recall the book
Student : there is one ""full text available""
Student : [Link]
Librarian : [Link]
Student : yes, full text available version , is it only ebook ?
Librarian : Wonderful, yes Introduction to Algorithms by Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, and Clifford Stein
Librarian : It is an ebook
Librarian : Available from our
Librarian : Ebook Central Academic Complete Platform
Librarian : On the ebook record
Librarian : [link]
Librarian : Click on the Available online link
Student : ohkay
Librarian : And it will take you to the full text of the book
Student : I have requested paper version
Student : so, I will get mail to collect these books once available right ? I have requested ASU copy already
Student : and there will be no charge , init ?
Librarian : Yes exactly, the library will email you when they are available for you
Student : and if someone recalls it , I have 10 days to return the book , right ?
Librarian : Yes there never is cost to you with the library.  Unless you have fine for not returning overdue books
Librarian : Yes correct
Student : okay Thanks
Student : Have a great day ahead
Librarian : You too!
Librarian : Cheers
Student : Cheers
Student : closing the chat
Librarian : Sounds good!
",1107,0
11,Graduate,8/19/22 11:54,"Student: Hi, is there anywhere I can do free printing and scanning?
Student : hi
Librarian : Hello. let me check. 
Student : ok thanks
Librarian : I am with another student. It may take a little longer., 
Student : k
Librarian : Here are the info about ASU Library printing services:[link]. 
Librarian : Scanning is free,
Librarian : in the libraries.  In the past, before the pandemic, there were some free printing services but I am not sure if they are still there
Librarian : [link] 
Librarian : This is from 2017. My colleague informed me tha 
Librarian : that certain units would offer free printing. For example at Poly, AISSS offers free printing as well as GPSA (Graduate students).
Librarian : As I mentioned before, scanning is free at ASU libraries. If you cannot find free printing, and the cost is high, you can scan the documents and  try printing stores (such as Office Depot). 
Librarian : Is there anything elase I can help you with? 
Librarian : I haven't heard from you in several minutes, so I'm going to close this session. Please connect to this service again if you need further assistance.
",825,0
12,Graduate,8/19/22 14:15,"Student: Hi
Librarian : Hello
Student : Hi [name], I can see that the library hours are till 12 AM only. It used to be 24 hours in the week days in the last semester
Student : Is there any reason to change it or will it be implemented later
Student : * regarding hayden library hours
Librarian : Hm, let me double check and see if there's any information about that.
Student : Sure
Student : Take your time
Librarian : I'm not seeing anything about this so I believe that those hours are going to be the standard hours for the Fall semester.
Librarian : There will likely be a few exceptions around certain holidays
Librarian : and during finals week we will likely have extended hours like we have done in the past but I can't confirm that  yet
Student : Sure, Thanks for your time
Librarian : You're welcome. Is there anything else I can help with at the moment?
Student : No. That's it
Student : Thanks
Librarian : Ok have a good one
",621,4
13,Graduate,8/22/22 11:46,"Student: I would like to borrow a Raspberry Pi. Are they available ??
Librarian : Thanks for using Ask a Librarian. We do have those in our Makerspace. I can forward your question to them for more information. Before I do that is there anything else I can help with?
Student : No. Thankyou for answering. I'll discuss further things with them.
Librarian : Great. They'll be in touch soon by email. Have a great day!
Student : you too. Thankyou.
",72,4
14,Graduate,8/23/22 8:05,"Student: How can I access the library from my asu portal? FYI I am an online student.
Librarian : Hello [name]
Librarian : You should be able to go directly to library website lib.asu.edu
Librarian : I'm not sure where inside your student portal there would be a link tot the library
",94,0
15,Graduate,8/23/22 14:40,"Student: Hello, 
Does ASU has academic license for the Global Mapper software?
Librarian : Go to My ASU and check your MY APPS. UTO maintains software licenses not the Library.  Sometimes teaching departments have software, but if it is used for a class you are in it should be in My APPS for anyone in th eclass
Librarian : You can also check with  [link]
Librarian : to see if they use that software
Student : No, I am a Ph.D. research assistant, and I need it for my research. I asked the Blue marbel, and they told me ASU has academic license.
Librarian : The trouble with that comment is that it could be all or part of ASU. Check with your department then check with Knowdledge Enterprise -- they might know if it is used on a particular grant.
Librarian : If it is univeristy wide access it should still be in MY APPS
Student : It is not in my apps. I will ask them. Thank you very much for your help.
",244,4
16,Graduate,8/23/22 17:01,"Student: I would like access this article: [link] When I click get@ASU it runs me around in circles and tells me that ASU doesn't subscribe to the content - but I was able to read the article a few weeks ago.
Librarian : Hi [name], let me take a look at that for you. Just one moment.
Student : Thank you!
Librarian : [name] - I see what you mean. Yes, it does look like ASU should have access to this article but it fails to open. I think this is a technical problem. I will create a ticket from this question and send it to our technology team. They should get back to you shortly. Sometimes issues like this crop up and the connection is restored shortly so you might just try again in a bit. But I am creating a ticket to report this problem.
Student : Thank you very much, I appreciate your help.
",348,4
17,Graduate,8/24/22 8:10,"Student: Unable to present in Prsenation tv
Student : Hi
Librarian : Hi [name]: I'm not sure what that is?
Student : IN Hayden i am unable to connect my pc to present
Librarian : Ah, I will give you the number to call for UTO (University Technology Services)
Librarian : Give me a sec
Librarian : Help Center: [phone]
Student : in one hour i do have meeting
Librarian : If you are in a university classroom at Hayden, UTO takes care of the technology in those rooms. 
Student : it says Duo related problems
Librarian : They are just in our space, but we can't book those rooms or do anything related to them.
Student : i book a room
Student : need to present my presentation
Librarian : I'm sure you do. Which room number are you in?
Student : 2 floor
Librarian : OK, that is the library. My apologies.
Librarian : I will pass you on to our tech services folks. 
Librarian : I'm turning this into a ticket, it's the fastest way to reach them, but I will also look for a phone number for you.
Student : sure thanks
Student : 207,205 and 357 no room was unable to connect
Librarian : Which room are you in now? You do have it booked through the library, correct?
Student : 207
Librarian : I can use slack to reach out to tech services, maybe they can get someone up to you.
Librarian : Great, I will pass that on.
Student : No one is in call
Librarian : The classrooms on the 2nd and 3rd floor are reserved for library activities so I was thrown off by your school, since you are with Engineering.
Librarian : I'm not sure what you mean by ""no one is in call"".
Student : You provided me a number right
Student : system was responding but not a person
Librarian : This is the UTO classroom support info: 

Classroom SupportPhone: [phone] (call or text)Email:[link]
Librarian : And it's not unusual to get a menu of options when calling an ASU number. Sorry, I know it's annoying.
Librarian : I'm going to invite a trainee to join us. I hope you don't mind. They are learning to work with the Ask a Librarian system.
Student : ok
Student : Hi I was in 2nd floor of hayden library and in few hours i do have a presentation
Librarian : I have both made this into a ticket and put a question in the slack channel, we are waiting for a reply.
Librarian : Sorry, you said the presentation was in 1 hour. When is it? Room 207 you said. 
Student : But i am unable to connect Yep Same room 207
Student : And Presentation is in One hour
Librarian : I assume that means 9 am? I did let the Tech Services folks know there was a time limit
Student : R u there
Librarian : While we wait, I will check but I assume you have done all the usual stuff, like rebooting the computer, turning the tv's off and back on again? I'm not sure if all grad students use Duo for security, if you don't that might be the issue.
Student : yep i did those
Librarian : So do you have Duo? [link]
Librarian : Did you get a chance to look at the Duo info? Do you have Duo? You mentioned an authentication issue?
Librarian : I have tried another channel to try and get some help up to you. Sorry, I'm not in Tempe (I work Downtown).
Student : okay
Librarian : I have repeated your presentation is at 9, I am sorry it's taking so long to get someone at Hayden to see the messages.
Librarian : Did you try calling UTO classroom support, the number I provided earlier?
Librarian :  [phone] (call or text)
Student : yes i did
Student : just now i hang the phone
Student : as no one was responding
Librarian : OK. Another suggestion: 

They may need to turn the overhead projector on at the projector itself. 

Stand on a chair and push the on button

They may need to turn the overhead projector on at the projector itself [link] Stand on a chair and push the on button
Librarian : I have no idea if that will help, but it can't hurt...
Librarian : Which librarian did you work with to get the room booked? Have they shown up yet?
Librarian : One of our Associate University Librarians is on the way.
Librarian : She is not in tech services but we have someone else coming as well.
Librarian : Are people there yet?
Librarian : I'm not familiar with Hayden and didn't realize you weren't in one of the big classrooms, my apologies.",2620,0
18,Graduate,8/24/22 15:22,"Student: hi! I was trying to look for Harvard Business Review's latest magazine. Is it available?
Librarian : Hi [name]: Oddly, due to very weird licensing with HBR we have it in print.
Librarian : Let me pull the info for you.
Student : That works, thank you
Librarian : You can request up to 3 articles per issue be scanned and dropped into your ILL account.
Student : How can I do that?
Librarian : ONe second
Librarian : Sorry, mutliple chats at once
Librarian : [link]
Librarian : You go to the record in the library catalog.
Librarian : Below, look at ""Request Options"" 
Librarian : ANd click on ""request an issue not listed below"" and fill in the form.
Librarian : You will be notified when they have pulled and scanned the article. The link in the email will take you to your online ILL account, and the article will stay there for 90 days.
Librarian : If you want to browse what is in a particular issue, you can so that from the HBR website.
Librarian : [link]
Student : great thank. Is it possible I can lend the hard copy?
or requesting articles is the only way?
Librarian : Let me see where we have the hard copy. I honestly don't recall the last time I say a loan policy for current issues but I assume it's a short loan period.
Student : okay, thank you
Student : short time should be fine
Librarian : No, sorry, this one is non-loanable.
Librarian : It's held at the Ross-Blakley Law library downtown, but you have to be a law student to get into the building, they have it very locked down.
Librarian : Good news, we do have it at Hayden.
Librarian : That location is NOT locked down. Let me check it's loan status
Student : oh great!
Librarian : Nope, that is not loanable either. But you can sit and read it from cover to cover and photocopy or scan articles (scanning is free).
Student : that's okay, where can I find it in Hayden?
Librarian : Good question! I work Downtown. Let me check on the Hayden map. Journals used to be in the basement but they may have moved when they redid the library
Student : that's okay, I can find out at the reception. Shouldn't be a problem
Student : Thank you for your help
Librarian : In the sub-basement. If you are in the lower-level (concourse level) of the Hayden library
Student : okay. Thank you :)
Librarian : The section you get to by going down into the underground courtyard? Right across from the info desk are elevators
Student : perfect
Librarian : They go to the sub-basement (which sounds terrible but really isn't!)
Librarian : Is there anything else I can help you with?
Student : That is it for now. Thank you
Student : have a great day
Librarian : You too. Sorry it took so long to answer but I'm health sciences and downtown, so I had to dig for it all.??
Student : I can understand. No problem
Librarian : Have a great semester!
",1079,4
